id,name,slug,urls
1,Abschlusspräsentation,abschlussprasentation,
2,x-rays,x-rays,
3,shutter,shutter,
4,Rückseite,ruckseite,
5,Epistemische,epistemische,
6,Bildakt,bildakt,
7,Körperwissen,korperwissen,
8,3D,3d,
9,Strukturwissenschaft,strukturwissenschaft,
10,Gamelab,gamelab,
11,Analogspeicher,analogspeicher,
12,Patienten,patienten,
13,Jahrestagung,jahrestagung,
14,Klang,klang,
15,Logo,logo,
16,KlangSehen,klangsehen,
17,Insekten,insekten,
18,Code,code,
19,Form,form,
20,Milieu,milieu,
21,Juste,juste,
22,Gender,gender,
23,de,de,
24,Gestaltung,gestaltung,
25,Flohkrebs,flohkrebs,
26,Zellteilung,zellteilung,
27,Zelle,zelle,
28,Labor,labor,
29,Gesundheit,gesundheit,
30,Krebse,krebse,
31,Reale,reale,
32,Virtuelle,virtuelle,
33,Architektur,architektur,
34,Wurm,wurm,
35,Humboldt,humboldt,
36,Papagei,papagei,
37,U-Boot-Bunker,u-boot-bunker,
38,Modell,modell,
39,Mond,mond,
40,Leguan,leguan,
41,Skelett,skelett,
42,Piktogramme,piktogramme,
43,Sammlungen,sammlungen,
44,Selbstbewegend,selbstbewegend,
45,dessau,dessau,
46,2014,2014,
47,Design,design,
48,Open,open,
49,Promotionsprogramm,promotionsprogramm,
50,Themenklasse,themenklasse,
51,Schering,schering,
52,Themenklasse2014,themenklasse2014,
53,Datenmodell,datenmodell,
54,Things,things,
55,Knowing,knowing,
56,Argentinien,argentinien,
57,Bildgenese,bildgenese,
58,Nacht,nacht,
59,Schallplatte,schallplatte,
60,Programm,programm,
61,"Visuelle Zeitgestaltung",visuelle-zeitgestaltung,
62,lautarchiv,lautarchiv,
63,tat,tat,
64,Lehrangebot,lehrangebot,
65,"Steckspiel, Foto: Manfred Zoller",steckspiel-foto-manfred-zoller,
66,schwarz,schwarz,
67,LogoDFG,logodfg,
69,gestaltung,gestaltung_1,
70,+ultra,ultra,
71,wissen,wissen,
72,Indien,indien,
74,OPEN,open_1,
75,Profil,profil,
76,Tieranatomisches,tieranatomisches,
77,Theater,theater,
78,Lageplan,lageplan,
79,WIWEX,wiwex,
80,Buchungsformular,buchungsformular,
81,GESTALTEN!,gestalten,
82,ANATOMIE,anatomie,
83,Wissenschaftsgarten,wissenschaftsgarten,
84,Arboretrum,arboretrum,
85,Naturführer,naturfuhrer,
86,Campus,campus,
87,Nord,nord,
88,Baumtabak,baumtabak,
89,MuseumsSommer,museumssommer,
90,Herbarbeleg,herbarbeleg,
91,Orobates,orobates,
92,HZK,hzk,
93,WiSe,wise,
94,2016/17,201617,
95,Vorlesungsverzeichnis,vorlesungsverzeichnis,
